game_id,season,week,start_time,venue,home_team,away_team,home_points,away_points,city,state,latitude,longitude,temperature,precipitation,wind_speed
401541760,2023,1,2023-09-01T00:00:00.000Z,Ruggles Field at Carpenter-Haygood Stadium,Henderson State,East Central (OK),41,13,Arkadelphia,AR,34.1209292,-93.053784,28.4,0.0,10.4
401541958,2023,1,2023-09-01T00:00:00.000Z,Fred G. Hughes Stadium,Missouri Southern State,Northwest Missouri St,24,31,Joplin,MO,37.08418,-94.51323,26.9,0.0,10.1
401540278,2023,1,2023-09-01T00:00:00.000Z,Wildcat Stadium (TX),Abilene Christian,Northern Colorado,31,11,Abilene,TX,32.472275,-99.710464,35.9,0.0,5.8
401551490,2023,1,2023-09-01T00:00:00.000Z,Al Whitehead Field at Greyhound Stadium,Eastern New Mexico,New Mexico Highlands,28,26,Portales,NM,34.1861922,-103.334397,33.1,0.0,18.0
401523987,2023,1,2023-09-01T02:00:00.000Z,Mountain America Stadium,Arizona State,Southern Utah,24,21,Tempe,AZ,33.4264471,-111.9325005,37.6,0.0,12.1
401541826,2023,1,2023-09-01T22:00:00.000Z,Blue Wahoos Stadium,West Florida,Kentucky Wesleyan,35,3,Pensacola,FL,30.421309,-87.2169149,27.7,0.5,16.6
401550131,2023,1,2023-09-01T22:00:00.000Z,Vendetti Field,Nichols College,UMass Dartmouth,6,57,Dudley,MA,42.0572744,-71.9396898,19.9,0.0,2.3
401532394,2023,1,2023-09-01T22:30:00.000Z,Rynearson Stadium,Eastern Michigan,Howard,33,23,Ypsilanti,MI,42.256126,-83.647285,22.3,0.0,9.2
401552881,2023,1,2023-09-01T23:00:00.000Z,"Alumni Stadium (Worcester, MA)",Worcester Polytechnic Institute,Worcester St,44,13,Worcester,MA,42.2625621,-71.8018877,18.5,0.0,3.2
401549629,2023,1,2023-09-01T23:00:00.000Z,Scotty Wood Stadium,Muhlenberg,Moravian,53,12,Allentown,PA,40.6022059,-75.4712794,21.9,0.0,5.8
401525463,2023,1,2023-09-01T23:00:00.000Z,Hard Rock Stadium,Miami,Miami (OH),38,3,Miami Gardens,FL,25.9579665,-80.2388604,27.3,0.5,14.1
401553027,2023,1,2023-09-01T23:00:00.000Z,Cardinal Stadium (DC),Catholic,McDaniel College,34,7,Washington,DC,38.8950368,-77.0365427,24.4,0.0,9.0
401550109,2023,1,2023-09-01T23:00:00.000Z,Arnold Field (PA),Lebanon Valley,Franklin & Marshall,12,16,Annville,PA,40.3295901,-76.515226,22.6,0.0,4.9
401549580,2023,1,2023-09-01T23:00:00.000Z,Merrill Field at Yunevich Stadium,Alfred University,Hobart College,9,31,Alfred,NY,42.2542334,-77.7906062,19.8,0.0,4.4
401550079,2023,1,2023-09-01T23:00:00.000Z,Walter M. Katz Field,Curry College,Salve Regina,0,48,Milton,MA,42.2501425,-71.065573,18.3,0.0,8.4
401520163,2023,1,2023-09-01T23:00:00.000Z,Spartan Stadium,Michigan State,Central Michigan,31,7,East Lansing,MI,42.7281474,-84.4848526,24.4,0.0,7.6
401552447,2023,1,2023-09-01T23:30:00.000Z,Patterson Field,Ursinus,Reading,38,6,Collegeville,PA,40.1856597,-75.451571,22.6,0.0,4.3
401525462,2023,1,2023-09-01T23:30:00.000Z,Mercedes-Benz Stadium,Georgia Tech,Louisville,34,39,Atlanta,GA,33.755578,-84.400881,26.2,0.0,16.6
401546011,2023,1,2023-09-02T00:00:00.000Z,O'Harra Stadium,South Dakota Mines,Valley City State,31,14,Rapid City,SD,44.0869329,-103.2274481,31.2,0.0,5.2
